,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,MACD,Signal,Histogram
0,2015-01-02,1515.0,1515.199951171875,1490.5,1495.800048828125,965.2319946289062,283046,0,,,
1,2015-01-05,1495.800048828125,1499.0,1426.0999755859375,1442.5999755859375,930.9022216796876,1218810,-1,,,
2,2015-01-06,1442.5999755859375,1450.0999755859375,1431.0,1441.5999755859375,930.2567749023438,1217208,-1,,,
3,2015-01-07,1441.5999755859375,1460.0,1422.4000244140625,1426.9000244140625,920.7713012695312,1251314,-1,,,
4,2015-01-08,1427.199951171875,1449.0,1400.0,1409.699951171875,909.6720581054688,20118939,-1,,,
5,2015-01-09,1409.699951171875,1424.0,1406.0,1409.300048828125,909.4139404296876,1873238,-1,,,
6,2015-01-12,1409.300048828125,1420.0,1390.0,1391.800048828125,898.1212158203125,2398068,-1,,,
7,2015-01-13,1391.800048828125,1410.0999755859375,1379.4000244140625,1385.300048828125,893.9268798828125,2516821,-1,,,
8,2015-01-14,1400.0,1400.0,1355.199951171875,1368.5,883.0858764648438,4616213,-1,,,
9,2015-01-15,1368.5,1400.0,1348.0,1355.699951171875,874.8260498046875,1148553,-1,,,
10,2015-01-16,1355.699951171875,1365.0,1336.0999755859375,1339.800048828125,864.5660400390625,325876,-1,,,
11,2015-01-19,1339.800048828125,1353.0,1335.9000244140625,1341.0,865.34033203125,404594,1,,,
12,2015-01-20,1341.0,1369.699951171875,1340.0999755859375,1350.300048828125,871.341552734375,1744134,1,,,
13,2015-01-21,1350.300048828125,1360.0,1340.699951171875,1349.5,870.8253784179688,3055779,-1,,,
14,2015-01-22,1349.5,1360.0,1335.0999755859375,1347.4000244140625,869.4702758789062,1795518,-1,,,
15,2015-01-23,1347.4000244140625,1359.800048828125,1315.0999755859375,1338.9000244140625,863.9849853515625,873438,-1,,,
16,2015-01-26,1338.9000244140625,1340.0,1279.300048828125,1305.9000244140625,842.6903076171875,1904166,-1,,,
17,2015-01-27,1305.9000244140625,1336.0,1284.9000244140625,1333.199951171875,860.3070678710938,1359196,1,,,
18,2015-01-28,1333.199951171875,1365.199951171875,1315.0999755859375,1348.0999755859375,869.921875,1079183,1,,,
19,2015-01-29,1348.0999755859375,1420.5999755859375,1340.5,1401.199951171875,904.18701171875,1914749,1,,,
20,2015-01-30,1401.199951171875,1560.0,1395.0,1551.0999755859375,1000.9165649414062,1580425,1,,,
21,2015-02-02,1551.0999755859375,1625.0,1529.9000244140625,1589.0,1025.37353515625,3735151,1,,,
22,2015-02-03,1589.0,1635.199951171875,1560.0,1623.4000244140625,1047.5716552734375,2800310,1,,,
23,2015-02-04,1623.4000244140625,1640.0999755859375,1625.199951171875,1628.5999755859375,1050.927001953125,1625098,1,,,
24,2015-02-05,1628.5999755859375,1635.0,1570.0,1590.0999755859375,1026.083251953125,1465270,-1,,,
25,2015-02-06,1590.0999755859375,1597.300048828125,1580.0,1584.5,1022.4696655273438,2970521,-1,82.06454904069483,,
26,2015-02-09,1584.5,1584.0,1540.0999755859375,1554.4000244140625,1003.0462646484376,831239,-1,79.45738148311443,,
27,2015-02-10,1554.4000244140625,1544.9000244140625,1511.0,1518.699951171875,980.0093383789062,1901215,-1,73.66136252286287,,
28,2015-02-11,1518.699951171875,1638.0999755859375,1501.0999755859375,1553.9000244140625,1002.7236328125,758072,1,71.08885935084186,,
29,2015-02-12,1553.9000244140625,1590.0999755859375,1550.0,1583.5,1021.8242797851562,929615,1,70.6244875750499,,
30,2015-02-13,1583.5,1593.0,1547.0,1564.300048828125,1009.4346313476562,644455,-1,67.92420603244182,,
31,2015-02-16,1564.300048828125,1600.0,1565.0,1586.800048828125,1023.9537353515624,185457,1,66.8294076041027,,
32,2015-02-17,1586.800048828125,1590.0,1565.0,1587.4000244140625,1024.3409423828125,326403,1,65.2579321573694,,
33,2015-02-18,1587.4000244140625,1600.0,1550.199951171875,1594.9000244140625,1029.1806640625,1459868,1,63.881329660272286,71.19883504741668,-7.317505387144394
34,2015-02-19,1594.9000244140625,1595.0,1575.0,1577.800048828125,1018.1461181640624,377725,-1,60.710701962981375,69.10120843052962,-8.39050646754825
35,2015-02-20,1577.800048828125,1590.0,1530.0,1536.5,991.4955444335938,3284242,-1,54.24014130259843,66.12899500494339,-11.88885370234496
36,2015-02-23,1536.5,1580.0,1536.5,1556.5999755859375,1004.4656982421876,2820476,1,50.15590930713006,62.93437786538073,-12.778468558250673
37,2015-02-24,1556.5999755859375,1570.0,1535.0,1539.800048828125,993.6251831054688,810661,-1,45.044270033052726,59.35635629891514,-14.312086265862412
38,2015-02-25,1539.800048828125,1570.0,1500.0,1515.5999755859375,978.0087280273438,27080078,-1,38.59560926016184,55.20420689116448,-16.608597631002645
39,2015-02-26,1515.5999755859375,1530.0,1501.699951171875,1511.300048828125,975.2341918945312,2815110,-1,32.76038960544838,50.71544343402127,-17.955053828572886
40,2015-02-27,1511.300048828125,1540.0,1511.0,1527.800048828125,985.8814086914062,1284313,1,29.13153785767645,46.39866231875231,-17.26712446107586
41,2015-03-02,1527.800048828125,1530.0,1490.0,1497.4000244140625,966.2643432617188,418914,-1,23.5313638814323,41.825202631288306,-18.293838749856008
42,2015-03-03,1497.4000244140625,1510.0,1480.0,1489.699951171875,961.2954711914062,1438784,-1,18.261348639910466,37.11243183301274,-18.851083193102276
